    i,        x,     lat,   solar_mon
  322,  0.60750,  37.409, 3.385009E+02
  323,  0.61250,  37.770, 3.370814E+02
  324,  0.61750,  38.134, 3.356447E+02
  325,  0.62250,  38.499, 3.341903E+02
  326,  0.62750,  38.866, 3.327179E+02
  327,  0.63250,  39.235, 3.312276E+02
  328,  0.63750,  39.606, 3.297189E+02
  329,  0.64250,  39.978, 3.281919E+02
  330,  0.64750,  40.353, 3.266461E+02
  331,  0.65250,  40.730, 3.250812E+02
  332,  0.65750,  41.109, 3.234972E+02
  333,  0.66250,  41.491, 3.218935E+02
  334,  0.66750,  41.874, 3.202700E+02
  335,  0.67250,  42.260, 3.186265E+02
  336,  0.67750,  42.649, 3.169627E+02
  337,  0.68250,  43.039, 3.152784E+02
  338,  0.68750,  43.433, 3.135732E+02
  339,  0.69250,  43.828, 3.118466E+02
  340,  0.69750,  44.227, 3.100985E+02
  341,  0.70250,  44.628, 3.083285E+02
  342,  0.70750,  45.032, 3.065363E+02
  343,  0.71250,  45.439, 3.047216E+02
  344,  0.71750,  45.848, 3.028839E+02
  345,  0.72250,  46.261, 3.010231E+02
  346,  0.72750,  46.677, 2.991385E+02
  347,  0.73250,  47.096, 2.972301E+02
  348,  0.73750,  47.519, 2.952972E+02
  349,  0.74250,  47.945, 2.933394E+02
  350,  0.74750,  48.374, 2.913564E+02
  351,  0.75250,  48.807, 2.893477E+02
  352,  0.75750,  49.244, 2.873131E+02
  353,  0.76250,  49.685, 2.852519E+02
  354,  0.76750,  50.130, 2.831639E+02
  355,  0.77250,  50.579, 2.810482E+02
  356,  0.77750,  51.032, 2.789047E+02
  357,  0.78250,  51.490, 2.767328E+02
  358,  0.78750,  51.952, 2.745318E+02
  359,  0.79250,  52.420, 2.723016E+02
  360,  0.79750,  52.892, 2.700415E+02
  361,  0.80250,  53.370, 2.677512E+02
  362,  0.80750,  53.852, 2.654300E+02
  363,  0.81250,  54.341, 2.630776E+02
  364,  0.81750,  54.835, 2.606933E+02
  365,  0.82250,  55.336, 2.582769E+02
  366,  0.82750,  55.843, 2.558278E+02
  367,  0.83250,  56.356, 2.533458E+02
  368,  0.83750,  56.877, 2.508305E+02
  369,  0.84250,  57.405, 2.482818E+02
  370,  0.84750,  57.941, 2.456992E+02
  371,  0.85250,  58.485, 2.430828E+02
  372,  0.85750,  59.037, 2.404330E+02
  373,  0.86250,  59.598, 2.377501E+02
  374,  0.86750,  60.169, 2.350344E+02
  375,  0.87250,  60.750, 2.322872E+02
  376,  0.87750,  61.342, 2.295099E+02
  377,  0.88250,  61.945, 2.267055E+02
  378,  0.88750,  62.561, 2.238766E+02
  379,  0.89250,  63.189, 2.210269E+02
  380,  0.89750,  63.831, 2.181647E+02
  381,  0.90250,  64.489, 2.152979E+02
  382,  0.90750,  65.162, 2.124407E+02
  383,  0.91250,  65.853, 2.096201E+02
  384,  0.91750,  66.563, 2.068835E+02
  385,  0.92250,  67.294, 2.043018E+02
  386,  0.92750,  68.048, 2.018336E+02
  387,  0.93250,  68.828, 1.994474E+02
  388,  0.93750,  69.636, 1.971238E+02
  389,  0.94250,  70.476, 1.948544E+02
  390,  0.94750,  71.352, 1.926333E+02
  391,  0.95250,  72.270, 1.904557E+02
  392,  0.95750,  73.236, 1.883187E+02
  393,  0.96250,  74.259, 1.862189E+02
  394,  0.96750,  75.353, 1.841565E+02
  395,  0.97250,  76.532, 1.821273E+02
  396,  0.97750,  77.823, 1.801291E+02
  397,  0.98250,  79.265, 1.781628E+02
  398,  0.98750,  80.931, 1.762269E+02
  399,  0.99250,  82.978, 1.743237E+02
  400,  0.99750,  85.948, 1.724433E+02
