year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1840,0.13,0.04,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.03,0.18,0.06,0.05,-0.06,-0.02,0.13,0.24,0.38
1841,0.13,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.03,0.19,0.03,0.05,-0.06,-0.02,0.13,0.22,0.36
1842,0.13,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.03,0.20,-0.00,0.05,-0.06,-0.02,0.13,0.19,0.33
1843,0.13,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.00,-0.03,0.20,-0.03,0.05,-0.05,-0.02,0.14,0.16,0.31
1844,0.13,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.01,-0.03,0.20,-0.05,0.05,-0.05,-0.02,0.14,0.15,0.29
1845,0.13,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.06,0.01,-0.03,0.20,-0.05,0.05,-0.06,-0.02,0.14,0.15,0.28
1846,0.13,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.05,0.01,-0.03,-0.00,-0.04,0.05,-0.06,-0.02,0.14,-0.04,0.10
1847,0.14,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.06,0.01,-0.03,0.06,-0.03,0.06,-0.06,-0.02,0.14,0.03,0.17
1848,0.14,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.07,0.01,-0.03,0.15,-0.02,0.06,-0.08,-0.02,0.13,0.13,0.26
1849,0.14,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.07,0.01,-0.03,0.18,-0.00,0.06,-0.07,-0.02,0.13,0.18,0.31
1850,0.14,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.07,0.01,-0.03,0.19,0.01,0.06,-0.08,-0.02,0.13,0.20,0.33
1851,0.14,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.06,0.01,-0.03,0.20,0.00,0.06,-0.07,-0.02,0.14,0.20,0.34
1852,0.14,0.05,0.01,0.00,0.03,0.00,0.00,-0.00,-0.06,0.01,-0.03,0.19,0.00,0.06,-0.06,-0.02,0.15,0.19,0.34
1853,0.15,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.06,0.01,-0.03,0.01,-0.01,0.06,-0.07,-0.02,0.15,0.00,0.15
1854,0.15,0.05,0.01,0.00,0.03,0.00,0.00,-0.01,-0.08,0.01,-0.03,-0.02,-0.02,0.06,-0.09,-0.02,0.14,-0.05,0.09
1855,0.15,0.05,0.01,0.00,0.04,0.00,0.00,-0.01,-0.07,0.01,-0.03,0.12,-0.03,0.06,-0.08,-0.02,0.15,0.09,0.23
1856,0.15,0.05,0.01,0.00,0.04,0.00,0.00,-0.01,-0.07,0.01,-0.04,0.13,-0.03,0.06,-0.08,-0.02,0.15,0.09,0.24
1857,0.16,0.05,0.01,0.00,0.04,0.01,0.00,-0.01,-0.08,0.01,-0.04,-0.06,-0.03,0.06,-0.09,-0.02,0.15,-0.09,0.06
1858,0.16,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,0.09,-0.01,0.07,-0.09,-0.02,0.15,0.08,0.22
1859,0.16,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,0.16,0.00,0.07,-0.09,-0.02,0.15,0.17,0.32
1860,0.17,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,0.19,0.01,0.07,-0.10,-0.03,0.15,0.20,0.35
1861,0.17,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,0.11,0.01,0.07,-0.10,-0.03,0.16,0.12,0.28
1862,0.17,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,-0.70,-0.00,0.07,-0.10,-0.03,0.16,-0.70,-0.54
1863,0.18,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,-0.30,-0.01,0.08,-0.09,-0.03,0.17,-0.30,-0.13
1864,0.18,0.06,0.01,0.00,0.04,0.01,0.00,-0.01,-0.09,0.01,-0.04,0.03,-0.01,0.08,-0.10,-0.03,0.18,0.02,0.20
1865,0.18,0.07,0.01,0.00,0.05,0.01,0.00,-0.01,-0.10,0.01,-0.04,0.15,-0.02,0.08,-0.11,-0.03,0.17,0.13,0.30
1866,0.18,0.07,0.02,0.00,0.05,0.01,0.00,-0.01,-0.10,0.01,-0.04,0.18,-0.02,0.08,-0.11,-0.03,0.18,0.16,0.34
1867,0.19,0.07,0.02,0.00,0.05,0.01,0.00,-0.01,-0.11,0.01,-0.04,0.20,-0.03,0.09,-0.12,-0.03,0.17,0.17,0.34
1868,0.19,0.07,0.02,0.00,0.05,0.01,0.00,-0.01,-0.12,0.01,-0.04,0.20,-0.02,0.09,-0.13,-0.03,0.17,0.18,0.35
1869,0.19,0.07,0.02,0.00,0.05,0.01,0.00,-0.01,-0.12,0.01,-0.04,0.20,0.00,0.09,-0.13,-0.03,0.18,0.20,0.38
1870,0.19,0.08,0.02,0.00,0.05,0.01,0.00,-0.01,-0.12,0.01,-0.05,0.20,0.00,0.09,-0.14,-0.03,0.17,0.20,0.37
1871,0.20,0.08,0.02,0.00,0.05,0.01,0.00,-0.01,-0.12,0.01,-0.05,0.20,0.01,0.10,-0.13,-0.03,0.18,0.21,0.39
1872,0.20,0.08,0.02,0.00,0.05,0.01,0.00,-0.01,-0.12,0.01,-0.05,0.19,0.01,0.10,-0.13,-0.03,0.19,0.20,0.39
1873,0.20,0.08,0.02,0.00,0.05,0.01,0.00,-0.02,-0.13,0.01,-0.05,-0.04,-0.00,0.10,-0.15,-0.03,0.17,-0.05,0.13
1874,0.21,0.08,0.02,0.00,0.05,0.01,0.00,-0.02,-0.14,0.01,-0.05,0.11,-0.01,0.10,-0.15,-0.03,0.17,0.09,0.27
1875,0.21,0.08,0.02,0.00,0.06,0.01,0.00,-0.02,-0.13,0.01,-0.05,0.12,-0.03,0.10,-0.15,-0.03,0.19,0.09,0.28
1876,0.22,0.08,0.02,0.00,0.06,0.01,0.00,-0.02,-0.14,0.01,-0.05,0.13,-0.03,0.10,-0.16,-0.04,0.18,0.10,0.28
1877,0.22,0.08,0.02,0.00,0.06,0.01,0.00,-0.02,-0.14,0.01,-0.05,0.18,-0.04,0.10,-0.16,-0.04,0.18,0.14,0.32
1878,0.22,0.08,0.02,0.00,0.06,0.01,0.00,-0.02,-0.15,0.01,-0.06,0.19,-0.04,0.11,-0.17,-0.04,0.19,0.15,0.33
1879,0.23,0.08,0.02,0.00,0.06,0.01,0.00,-0.02,-0.16,0.01,-0.06,0.20,-0.04,0.11,-0.18,-0.04,0.18,0.15,0.33
1880,0.23,0.09,0.02,0.00,0.06,0.01,0.00,-0.02,-0.16,0.01,-0.06,0.15,-0.03,0.11,-0.19,-0.04,0.18,0.12,0.29
1881,0.24,0.09,0.02,0.00,0.06,0.01,0.00,-0.02,-0.17,0.01,-0.06,0.15,-0.01,0.11,-0.19,-0.04,0.18,0.14,0.32
1882,0.24,0.09,0.02,0.00,0.06,0.01,0.00,-0.03,-0.17,0.01,-0.06,0.20,-0.01,0.11,-0.20,-0.04,0.18,0.18,0.37
1883,0.25,0.09,0.02,0.00,0.06,0.01,0.00,-0.03,-0.17,0.01,-0.06,-0.52,-0.02,0.11,-0.19,-0.04,0.19,-0.53,-0.34
1884,0.25,0.09,0.03,0.00,0.06,0.01,0.00,-0.03,-0.18,0.01,-0.06,-1.96,0.01,0.12,-0.20,-0.04,0.19,-1.96,-1.77
1885,0.26,0.09,0.03,0.00,0.07,0.01,0.00,-0.03,-0.18,0.01,-0.06,-0.68,-0.01,0.12,-0.21,-0.04,0.19,-0.69,-0.50
1886,0.26,0.09,0.03,0.00,0.07,0.01,0.00,-0.03,-0.18,0.01,-0.07,-0.12,-0.02,0.12,-0.21,-0.04,0.20,-0.14,0.06
